adv_correct_classification_tgt,clean_true_prob_src,clean_max_prob_src,adv_true_prob_tgt,adv_max_prob_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim,clean_correct_classification
False,0.9998985528945924,0.9998985528945924,0.0026748022064566,0.3202000260353088,vgg16,resnet50,fgsm,0.21,78.2916030883789,0.1807607263326645,True
False,1.0,1.0,0.0149540547281503,0.0964042767882347,vgg16,resnet50,fgsm,0.21,77.5528564453125,0.2053659409284591,True
False,0.9999743700027466,0.9999743700027466,0.0071536949835717,0.1148822754621505,vgg16,resnet50,fgsm,0.21,75.04131317138672,0.2020313739776611,True
False,0.9999920129776,0.9999920129776,0.0134382648393511,0.1063218414783477,vgg16,resnet50,fgsm,0.21,77.5451431274414,0.1174784004688263,True
False,0.9999924898147584,0.9999924898147584,0.0033405546564608,0.195840299129486,vgg16,resnet50,fgsm,0.21,74.85657501220703,0.1484609097242355,True
False,0.9999891519546508,0.9999891519546508,0.0285316165536642,0.1213054433465004,vgg16,resnet50,fgsm,0.21,77.02804565429688,0.2212123721837997,True
False,0.9999982118606568,0.9999982118606568,0.0036578045692294,0.0811455026268959,vgg16,resnet50,fgsm,0.21,74.43772888183594,0.1752327382564544,True
False,0.9999685287475586,0.9999685287475586,0.0125492708757519,0.0477967150509357,vgg16,resnet50,fgsm,0.21,69.96658325195312,0.2044912427663803,True
False,0.9994001388549804,0.9994001388549804,0.0234619546681642,0.0622507035732269,vgg16,resnet50,fgsm,0.21,75.64022827148438,0.2840363979339599,True
False,0.891663134098053,0.891663134098053,0.0061333617195487,0.0952633395791053,vgg16,resnet50,fgsm,0.21,67.54443359375,0.1077303737401962,True
True,0.9999998807907104,0.9999998807907104,0.4036726355552673,0.4036726355552673,vgg16,resnet50,fgsm,0.21,74.11952209472656,0.1675441712141037,True
False,0.9999994039535522,0.9999994039535522,0.0046535111032426,0.0368215180933475,vgg16,resnet50,fgsm,0.21,77.50806427001953,0.2310634702444076,True
False,0.9999997615814208,0.9999997615814208,0.0067414264194667,0.0489042103290557,vgg16,resnet50,fgsm,0.21,79.50411987304688,0.2457950711250305,True
False,0.9999992847442628,0.9999992847442628,0.0721193924546241,0.4894431233406067,vgg16,resnet50,fgsm,0.21,77.61527252197266,0.1958413422107696,True
False,0.9987419247627258,0.9987419247627258,0.0099602881819009,0.0711553394794464,vgg16,resnet50,fgsm,0.21,76.12008666992188,0.1797845214605331,True
False,0.9997873902320862,0.9997873902320862,0.0090059274807572,0.1033204570412635,vgg16,resnet50,fgsm,0.21,79.01890563964844,0.1430208534002304,True
False,0.9999364614486694,0.9999364614486694,0.0114922281354665,0.0602618530392646,vgg16,resnet50,fgsm,0.21,76.98223876953125,0.3737522065639496,True
False,0.99970680475235,0.99970680475235,0.0123064517974853,0.0344471260905265,vgg16,resnet50,fgsm,0.21,77.65829467773438,0.206358253955841,True
False,0.986641764640808,0.986641764640808,0.0767575055360794,0.0778984576463699,vgg16,resnet50,fgsm,0.21,76.79703521728516,0.2050554454326629,True
False,0.9993278980255128,0.9993278980255128,0.0067375414073467,0.0597710721194744,vgg16,resnet50,fgsm,0.21,79.79698181152344,0.1587829887866974,True
False,0.4965294003486633,0.4965294003486633,0.0105666788294911,0.1618893295526504,vgg16,resnet50,fgsm,0.21,80.82058715820312,0.0938457250595092,True
False,0.999427616596222,0.999427616596222,0.0318579077720642,0.0417867563664913,vgg16,resnet50,fgsm,0.21,79.26190948486328,0.1457585543394088,True
False,0.6407203078269958,0.6407203078269958,0.0112984590232372,0.0554065704345703,vgg16,resnet50,fgsm,0.21,74.04676818847656,0.0243987888097763,True
False,0.2581203281879425,0.6751593947410583,0.0452544167637825,0.1201485842466354,vgg16,resnet50,fgsm,0.21,64.49488830566406,0.135927602648735,True
False,0.999848246574402,0.999848246574402,0.049727376550436,0.3182109594345093,vgg16,resnet50,fgsm,0.21,80.35187530517578,0.0640268549323082,True
